Model Name,Batch Size,Learning Rate,Phase,Epoch,Loss,Accuracy,Patience Count
SwinV2Model,32,0.01,Validation,2,1.600304719,0.386934668,0
SwinV2Model,32,0.01,Train,3,1.541744005,0.472103,0
SwinV2Model,32,0.01,Validation,3,1.465157094,0.502512574,0
SwinV2Model,32,0.01,Train,4,1.396681916,0.5139485,0
SwinV2Model,32,0.01,Validation,4,1.113957228,0.58793968,0
SwinV2Model,32,0.01,Train,5,1.277649713,0.527897,0
SwinV2Model,32,0.01,Validation,5,1.417691533,0.442211062,1
SwinV2Model,32,0.01,Train,6,1.073427198,0.603004277,1
SwinV2Model,32,0.01,Validation,6,0.943274127,0.648241222,0
SwinV2Model,32,0.01,Train,7,0.987576046,0.634120166,0
SwinV2Model,32,0.01,Validation,7,0.976924159,0.663316548,1
SwinV2Model,32,0.01,Train,8,0.94940566,0.641630888,1
SwinV2Model,32,0.01,Validation,8,0.939701278,0.658291459,0
SwinV2Model,32,0.01,Train,9,0.944902269,0.634120166,0
SwinV2Model,32,0.01,Validation,9,0.928012432,0.673366845,0
SwinV2Model,32,0.01,Train,10,0.94079639,0.636266112,0
SwinV2Model,32,0.01,Validation,10,0.94071049,0.658291459,1
SwinV2Model,32,0.01,Train,11,0.888010402,0.652360499,1
SwinV2Model,32,0.01,Validation,11,0.927524507,0.673366845,0
SwinV2Model,32,0.01,Train,12,0.920409611,0.654506445,0
SwinV2Model,32,0.01,Validation,12,0.926369173,0.653266311,0
SwinV2Model,32,0.01,Train,13,0.93954656,0.657725334,0
SwinV2Model,32,0.01,Validation,13,0.927328538,0.658291459,1
SwinV2Model,32,0.01,Train,14,0.921159198,0.667382002,1
SwinV2Model,32,0.01,Validation,14,0.916510241,0.678391933,0
SwinV2Model,32,0.01,Train,15,0.90336562,0.666308999,0
SwinV2Model,32,0.01,Validation,15,0.916329492,0.663316548,0
SwinV2Model,32,0.01,Train,16,0.898092537,0.646995723,0
SwinV2Model,32,0.01,Validation,16,0.916897281,0.663316548,1
SwinV2Model,32,0.01,Train,17,0.919803368,0.646995723,1
SwinV2Model,32,0.01,Validation,17,0.917374681,0.663316548,2
SwinV2Model,32,0.01,Train,18,0.919627402,0.667382002,2
SwinV2Model,32,0.01,Validation,18,0.918041967,0.663316548,3
SwinV2Model,32,0.01,Train,19,0.890232306,0.671673834,3
SwinV2Model,32,0.01,Validation,19,0.918492067,0.668341696,4
SwinV2Model,32,0.01,Train,20,0.917192719,0.644849777,4
SwinV2Model,32,0.01,Validation,20,0.91890882,0.658291459,5
SwinV2Model,32,0.01,Train,21,0.875378141,0.678111613,5
SwinV2Model,32,0.01,Validation,21,0.918879168,0.658291459,6
SwinV2Model,64,0.01,Train,1,2.316974901,0.254291832,0
SwinV2Model,64,0.01,Validation,1,1.918894738,0.371859282,0
SwinV2Model,64,0.01,Train,2,1.501992704,0.444205999,0
SwinV2Model,64,0.01,Validation,2,1.578770735,0.34673366,0
SwinV2Model,64,0.01,Train,3,1.396221607,0.460300416,0
SwinV2Model,64,0.01,Validation,3,1.206956197,0.507537663,0
SwinV2Model,64,0.01,Train,4,1.199209844,0.546137333,0
SwinV2Model,64,0.01,Validation,4,1.195718499,0.55276382,0
SwinV2Model,64,0.01,Train,5,1.248089034,0.517167389,0
SwinV2Model,64,0.01,Validation,5,1.149979165,0.537688434,0
SwinV2Model,64,0.01,Train,6,1.090786263,0.578326166,0
SwinV2Model,64,0.01,Validation,6,1.058227519,0.562814057,0
SwinV2Model,64,0.01,Train,7,1.003489662,0.616952777,0
SwinV2Model,64,0.01,Validation,7,1.024348652,0.618090451,0
SwinV2Model,64,0.01,Train,8,1.004828672,0.605150223,0
SwinV2Model,64,0.01,Validation,8,1.006292699,0.597989917,0
SwinV2Model,64,0.01,Train,9,0.99361701,0.625536501,0
SwinV2Model,64,0.01,Validation,9,0.998507637,0.618090451,0
SwinV2Model,64,0.01,Train,10,0.954804029,0.634120166,0
SwinV2Model,64,0.01,Validation,10,1.004195073,0.638190925,1
SwinV2Model,64,0.01,Train,11,0.961480406,0.644849777,1
SwinV2Model,64,0.01,Validation,11,1.002790401,0.628140688,2
SwinV2Model,64,0.01,Train,12,0.994281746,0.622317612,2
SwinV2Model,64,0.01,Validation,12,1.001521612,0.608040214,3
SwinV2Model,64,0.01,Train,13,0.986997741,0.608369112,3
SwinV2Model,64,0.01,Validation,13,1.002648424,0.603015065,4
SwinV2Model,64,0.01,Train,14,0.971372457,0.629828334,4
SwinV2Model,64,0.01,Validation,14,0.997431223,0.628140688,0
SwinV2Model,64,0.01,Train,15,0.964374688,0.652360499,0
SwinV2Model,64,0.01,Validation,15,0.997517678,0.613065302,1
SwinV2Model,64,0.01,Train,16,0.986841705,0.627682388,1
SwinV2Model,64,0.01,Validation,16,0.997576104,0.613065302,2
SwinV2Model,64,0.01,Train,17,0.981672496,0.650214612,2
SwinV2Model,64,0.01,Validation,17,0.997702917,0.613065302,3
SwinV2Model,64,0.01,Train,18,0.991282865,0.630901277,3
SwinV2Model,64,0.01,Validation,18,0.997808798,0.613065302,4
SwinV2Model,64,0.01,Train,19,0.966269764,0.623390555,4
SwinV2Model,64,0.01,Validation,19,0.997460335,0.613065302,5
SwinV2Model,64,0.01,Train,20,0.997766069,0.627682388,5
SwinV2Model,64,0.01,Validation,20,0.997924235,0.613065302,6
SwinV2Model,128,0.01,Train,1,2.312708952,0.237124458,0
SwinV2Model,128,0.01,Validation,1,2.294042234,0.326633155,0
SwinV2Model,128,0.01,Train,2,1.810695046,0.350858361,0
SwinV2Model,128,0.01,Validation,2,1.478446584,0.386934668,0
SwinV2Model,128,0.01,Train,3,1.411331041,0.438841194,0
SwinV2Model,128,0.01,Validation,3,1.522088614,0.351758778,1
